序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2222,601519,大智慧,10.72,1.42,0.15,219899.0,235344811.0,2.18,10.8,10.57,10.6,10.57,0.79,1.11,-484.35,15.96,21323795200.0,21323795200.0,-0.09,-0.19,-26.58,-16.71
2223,688549,中巨芯-U,9.27,1.42,0.13,169904.0,156533627.0,2.52,9.3,9.07,9.19,9.14,0.82,2.88,-797.3,4.57,13694348520.0,5462987130.0,-0.11,-0.32,-5.12,1.64
2224,603551,奥普科技,12.13,1.42,0.17,45433.0,54973763.0,2.76,12.2,11.87,11.9,11.96,1.18,1.2,18.98,3.45,4666928345.0,4607988675.0,-0.41,-0.57,7.16,4.66
2225,600992,贵绳股份,12.1,1.42,0.17,41354.0,49772186.0,2.35,12.16,11.88,11.93,11.93,0.95,1.69,-36.12,2.13,2965589000.0,2965589000.0,-0.08,-0.08,-11.94,-10.83
2226,301156,美农生物,18.58,1.42,0.26,18378.0,33882256.43,3.17,18.68,18.1,18.48,18.32,1.04,2.06,47.95,3.6,2615779262.0,1657800630.0,0.16,-0.05,-0.59,6.72
2227,002887,绿茵生态,11.42,1.42,0.16,27146.0,30614449.8,3.11,11.45,11.1,11.27,11.26,0.63,1.25,37.26,1.53,3494378860.0,2480779630.0,-0.09,-0.17,21.62,22.01
2228,000921,海信家电,22.87,1.42,0.32,86604.0,196662918.71,2.35,22.95,22.42,22.56,22.55,1.09,0.94,9.94,1.81,31671774981.0,20997712299.0,-0.09,-0.04,-7.22,-7.82
2229,000923,河钢资源,19.22,1.42,0.27,80792.0,154795689.58,2.01,19.34,18.96,18.96,18.95,0.74,1.29,17.5,1.22,12545450630.0,12068264024.0,-0.05,-0.21,-17.23,-9.21
2230,600593,大连圣亚,37.33,1.41,0.52,46036.0,171154520.0,3.56,37.63,36.32,36.7,36.81,1.35,3.57,178.65,25.18,4869511850.0,4808104000.0,0.0,0.03,-13.29,-9.87
2231,601995,中金公司,33.92,1.41,0.47,191912.0,651411400.0,1.11,34.15,33.78,34.15,33.45,1.27,0.66,16.72,1.64,163740552963.0,99166559565.0,0.0,-0.03,-5.09,-3.09
2232,300658,延江股份,22.32,1.41,0.31,238959.0,523893498.2,5.09,22.45,21.33,21.75,22.01,0.66,10.6,131.06,5.53,7427294824.0,5033472792.0,-0.4,-0.36,50.61,50.61
2233,688192,迪哲医药-U,61.05,1.41,0.85,46257.0,279787451.0,5.13,61.89,58.8,59.55,60.2,1.16,1.0,-37.17,21.76,28398374654.0,28157120317.0,0.0,0.03,-10.18,5.99
2234,300793,佳禾智能,14.4,1.41,0.2,42261.0,60552892.0,1.62,14.42,14.19,14.3,14.2,1.03,1.14,142.58,1.83,5479857000.0,5358054600.0,0.14,0.0,-19.91,-11.71
2235,300152,ST新动力,2.16,1.41,0.03,188140.0,40400272.5,2.35,2.17,2.12,2.12,2.13,0.79,2.64,-159.67,6.54,1539648000.0,1539255798.0,-0.46,-0.46,-4.42,0.93
